
Reza Marzban
The following sort functions are done on the whole data provided, but only 50 record of each query's result are printed just to show a subset of results and also save space.
-----------------------------
Testing the functions and printing their results:
1.Sorting Blocks by Gas Used increasing:
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
0xb6660149c7fbe7e395988b1b570a5964520faf3aa509ef6781f17f8de94603c4	3110810	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0xcb3fd89dc975b9fa7cecd97772642d0cb4a20175ae66ae52693dd11ecf614e0e	47	0 
 
0xab6199b89254fbd10cb85303e8e98d34056c910e63957fe3911cbc532c1ac051	3110090	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x6f478144e21332d9ff339666a1241533c9f1a5b726004fdf50e86b3a75423be7	43	0 
 
0xdd9ec93b534cea9ce02fa53ef9c9fd4941953848e69dea168bbe9ca65fdf49b0	3110386	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x2c9dc6c9e6f2cff1408744711f5adebaed0ca7b37afde5aee0a619b6605717be	13	0 
 
0x335514c492813a86599c82ba15b92fd1b65edc2e2e42255fa547d770d4d50cfa	3110159	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x3248639005e9c2d5ecef64c02e219641053ccb476d5e95e2f7f10e7466523c79	11	0 
 
0x361a98657a83e94a42d9bf0377de2946a466dc80598f4605f31dd6a2f6fb3a16	3110325	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x63fdc56995bdd8c9e2c527e9fee64f2ebca621171872bd99100c6add4d941c03	14	0 
 
0x35529412dcbafaf6de8943960529ca5f54183610f946d1530d98ee761bceecd3	3110508	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x7f44f5cde7c03beb25e4583ab9bc536826659b536e8dad9b49ea6a7895d70ff7	15	0 
 
0x7023ccefc616411bc156f13abcfdcb72f41601840f2e6ffc79d34c52d877fa60	3110568	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x1d61d09848a0261748e4ea0dbbf48b53c1a1a1f62e487a5733dcdc1270bee2ab	14	0 
 
0xb564ba0b2385df0ca34240f96bd09432f4daef655bae806bf5cdc695461c3eae	3110626	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x509d6f38b8d6707a0dfbba0561c0e5426c674ec86ddb0d04f4a6cf084a9fa619	20	0 
 
0x51f1cebd8d751cc77c7a0d8174453424cda8d868ca0cf812d3ef7aefe6c0d306	3110267	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x8997ed095fa59570bf7dc9edfb69172989cce94a3bd85c65090b3e1ba6ea7c4e	14	0 
 
0x2eed0cee31e6c00b59ba971ccb59c44561a3a56d12c100dbdf65195e9a4b33b8	3110752	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x7b5d06de24380e6042ae9ee20cf778168d67d990a3c65e5eb7b98bf16949c66e	29	0 
 
0xe435b906362352654edd515a576be2388eae6a5a61a057730f55f808459e7044	3110305	0x741c2a446cff5b5793610d503a08e00cb1587ce6	null	null	1000000	0x446be8b9ea28163c3c23058a012819980f4e30af5097bbf0c7cddeb0aea681dd	7	0 
 
